"Observation","SourceFile","NoiseCondition","VOA_dB","Split"
49,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",10,"Test"
50,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",10,"Train"
51,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",10,"Train"
52,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",10,"Train"
53,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",10,"Train"
54,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",10,"Test"
55,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",10,"Train"
56,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",10,"Train"
57,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",10,"Train"
58,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",10,"Train"
59,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",10,"Train"
60,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",10,"Train"
61,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",10,"Train"
62,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",15,"Train"
63,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",15,"Train"
64,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",15,"Train"
65,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",15,"Test"
66,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",15,"Train"
67,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",15,"Train"
68,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",15,"Train"
69,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",15,"Train"
70,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",15,"Train"
71,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",15,"Train"
72,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",15,"Test"
73,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",15,"Test"
74,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",15,"Test"
75,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",15,"Test"
76,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",15,"Train"
77,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",15,"Train"
78,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",15,"Train"
79,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",15,"Train"
80,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",15,"Train"
81,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",15,"Test"
82,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",15,"Train"
83,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",15,"Train"
84,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",15,"Test"
85,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",15,"Train"
86,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",15,"Train"
87,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",15,"Test"
88,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",15,"Train"
89,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",15,"Train"
90,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",15,"Train"
91,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",15,"Train"
92,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",15,"Train"
93,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",15,"Train"
94,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",15,"Test"
95,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",15,"Test"
96,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",15,"Train"
97,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",15,"Train"
98,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",15,"Test"
99,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",15,"Train"
100,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",15,"Train"
101,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",15,"Train"
102,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",15,"Train"
103,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",15,"Test"
104,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",15,"Train"
105,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",15,"Train"
106,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",15,"Train"
107,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",15,"Train"
108,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",15,"Train"
109,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",15,"Train"
110,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",15,"Train"
111,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",15,"Train"
112,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",15,"Test"
113,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",15,"Train"
114,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",15,"Train"
115,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",15,"Train"
116,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",15,"Test"
117,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",20,"Test"
118,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",20,"Test"
119,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",20,"Test"
120,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",20,"Test"
121,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",20,"Test"
122,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",20,"Test"
123,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",20,"Train"
124,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",20,"Test"
125,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",20,"Train"
126,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",20,"Train"
127,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",20,"Train"
128,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",20,"Train"
129,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",20,"Train"
130,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",20,"Train"
131,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",20,"Train"
132,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",20,"Train"
133,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",20,"Train"
134,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",20,"Test"
135,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",20,"Test"
136,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",20,"Test"
137,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",20,"Test"
138,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",20,"Test"
139,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",20,"Test"
140,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",20,"Test"
141,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",20,"Test"
142,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",20,"Train"
143,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",20,"Train"
144,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",20,"Train"
145,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",20,"Train"
146,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",20,"Train"
147,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",20,"Train"
148,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",20,"Train"
149,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",20,"Test"
150,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",20,"Train"
151,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",20,"Test"
152,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",20,"Train"
153,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",20,"Train"
154,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",20,"Test"
155,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",20,"Train"
156,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",20,"Train"
157,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",20,"Test"
158,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",20,"Train"
159,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",20,"Train"
160,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",20,"Train"
161,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",20,"Train"
162,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",20,"Test"
163,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",20,"Train"
164,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",20,"Train"
165,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",25,"Train"
166,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",25,"Test"
167,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",25,"Train"
168,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",25,"Test"
169,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",25,"Train"
170,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",25,"Test"
171,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",25,"Train"
172,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",25,"Train"
173,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",25,"Train"
174,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",25,"Train"
175,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",25,"Train"
176,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",25,"Train"
177,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",25,"Train"
178,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",25,"Train"
179,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",25,"Train"
180,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",25,"Test"
181,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",25,"Test"
182,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",25,"Train"
183,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",25,"Test"
184,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",25,"Test"
185,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",25,"Train"
186,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",25,"Train"
187,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",25,"Train"
188,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",25,"Train"
189,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",25,"Test"
190,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",25,"Train"
191,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",25,"Train"
192,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",25,"Test"
193,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",25,"Train"
194,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",25,"Train"
195,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",25,"Test"
196,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",25,"Train"
197,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",25,"Train"
198,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",25,"Test"
199,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",25,"Test"
200,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",25,"Test"
201,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",25,"Train"
202,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",25,"Train"
203,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",25,"Test"
204,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",25,"Train"
205,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",25,"Test"
206,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",25,"Test"
207,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",25,"Train"
208,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",25,"Test"
209,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",25,"Test"
210,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",25,"Train"
211,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",25,"Test"
212,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",25,"Test"
213,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",25,"Train"
214,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",25,"Test"
215,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",25,"Train"
216,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",25,"Train"
217,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",25,"Test"
218,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",25,"Test"
219,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",25,"Train"
220,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",25,"Train"
221,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",25,"Train"
222,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",25,"Train"
223,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",25,"Train"
224,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",25,"Test"
225,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",25,"Train"
226,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",25,"Train"
227,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",25,"Train"
228,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",25,"Train"
229,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",27,"Test"
230,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",27,"Train"
231,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",27,"Train"
232,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",27,"Train"
233,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",27,"Train"
234,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",27,"Train"
235,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",27,"Test"
236,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",27,"Train"
237,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",27,"Test"
238,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",27,"Train"
239,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",27,"Train"
240,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",27,"Train"
241,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",27,"Train"
242,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",27,"Test"
243,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",27,"Test"
244,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",27,"Train"
245,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",27,"Train"
246,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",27,"Train"
247,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",27,"Train"
248,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",27,"Train"
249,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",27,"Train"
250,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",27,"Train"
251,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",27,"Test"
252,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",27,"Train"
253,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",27,"Train"
254,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",27,"Test"
255,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",27,"Train"
256,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",27,"Test"
257,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",27,"Train"
258,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",27,"Train"
259,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",27,"Train"
260,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",27,"Train"
261,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",27,"Train"
262,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",27,"Test"
263,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",27,"Train"
264,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",27,"Test"
265,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",27,"Train"
266,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",27,"Train"
267,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",27,"Test"
268,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",27,"Train"
269,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",27,"Train"
270,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",27,"Train"
271,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",27,"Train"
272,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",27,"Test"
273,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",27,"Test"
274,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",28,"Train"
275,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",28,"Train"
276,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",28,"Train"
277,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",28,"Train"
278,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",28,"Train"
279,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",28,"Train"
280,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",28,"Test"
281,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",28,"Train"
282,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",28,"Train"
283,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",28,"Train"
284,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",28,"Train"
285,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",28,"Train"
286,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",28,"Train"
287,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",28,"Test"
288,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",28,"Test"
289,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",28,"Test"
290,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",28,"Train"
291,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",28,"Train"
292,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",28,"Train"
293,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",28,"Test"
294,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",28,"Train"
295,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",28,"Train"
296,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",28,"Train"
297,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",28,"Train"
298,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",28,"Train"
299,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",28,"Train"
300,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",28,"Test"
301,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",28,"Train"
302,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",28,"Test"
303,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",28,"Train"
304,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",28,"Test"
305,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",28,"Train"
306,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",28,"Test"
307,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",28,"Test"
308,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",28,"Train"
309,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",28,"Train"
310,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",28,"Test"
311,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",28,"Test"
312,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",28,"Test"
313,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",28,"Train"
314,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",28,"Test"
315,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",28,"Train"
316,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",28,"Train"
317,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",28,"Train"
318,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",28,"Test"
319,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",28,"Test"
320,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",28,"Train"
321,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",28,"Train"
322,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",28,"Test"
323,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",28,"Train"
324,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",28,"Train"
325,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",28,"Train"
326,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",28,"Train"
327,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",28,"Train"
328,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",28,"Train"
329,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",28,"Train"
330,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",28,"Train"
331,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",28,"Train"
332,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",28,"Train"
333,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",28,"Test"
334,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",28,"Train"
335,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",28,"Train"
336,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",28,"Test"
337,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",28,"Train"
338,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",28,"Train"
339,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",28,"Test"
340,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",28,"Train"
